article,DOI/ISBN,Authors (Year),Reviewer,Application environment,Logistic focus,Modeling objective,Uncertainty treatment,Real-time/dynamic feature,Technical artifact delivered,Validation type,Events/disruptions tested,Performance metrics reported,Limitations/gaps,Emerging requirements
A Dynamic Joint Real-Time Scheduling Strategy of Truck and Yard Crane in Container Terminals,10.1109/ICNSC52481.2021.9702168,Jin et al. (2021),Yasmin,container terminal,"truck scheduling, truck-crane joint scheduling, yard operations, yard resource scheduling","Optimize truck empty driving rate and truck operation time, and achieve job balance and operational efficiency for yard cranes.","dynamic/online, reactive",real-time online,"heuristic, metaheuristic","computational experiment, simulation, synthetic data",none tested,"total cost, waiting time","he study is mainly concentrated on truck scheduling, while the yard-crane scheduling component is treated in a simplified manner.",A more advanced and deeper optimization treatment for yard-crane scheduling is needed.
Modeling and Simulation of Container Terminal Logistics Systems Using Harvard Architecture and Agent-Based Computing,10.1109/WSC.2010.5679030,Li and Li (2010),Marcus,container terminal,"yard operations, yard resource scheduling, yard trailer dispatching","Optimize task assignment, resource allocation, and equipment scheduling to improve terminal efficiency and overall throughput.","reactive, simulation-based uncertainty",reactive event-driven,simulation model,"computational experiment, simulation",demand fluctuation,throughput,The validation is limited to single-vessel simulation scenarios and the approach is still a conceptual model that has not yet become a full intelligent decision support system.,The study highlights the need for workload balancing in task distribution and for recognizing efficiency limits when adding more equipment.
Modeling and Simulation of Yard Trailer Dispatching at Container Terminals,10.1109/ICAL.2009.5262988,Li et al. (2009),Marcus,container terminal,"yard operations, yard trailer dispatching","Reduce transfer time, crane waiting time, congestion, and total makespan in yard-trailer dispatching between quay cranes and the storage yard.","simulation-based uncertainty, stochastic",reactive event-driven,"mathematical model, simulation model","computational experiment, simulation",none tested,"makespan, waiting time",The simulation assumptions do not fully represent all real terminal conditions and the formulation only addresses directional processing of export containers.,The study indicates that balanced task distribution and uniform initial positioning of yard trailers are essential for maximum efficiency.
The Hybrid Intelligence Swam Algorithm for Berth-Quay Cranes and Trucks Scheduling Optimization Problem,10.1109/ICCI-CC.2016.7862049,Liu and Liu (2016),Anna,container terminal,"inbound-outbound synchronization, truck-crane joint scheduling, yard trailer dispatching",Minimize the total vessel staying time in the container terminal through joint scheduling of loading and unloading tasks.,none,static,"hybrid optimization framework, mathematical model, metaheuristic","computational experiment, simulation",none tested,not clearly reported,The study treats port uncertainties such as weather delays and equipment failures as constants and suggests future integration of stochastic variables.,"The spreadsheet highlights temporal synchronization, joint scheduling, double-cycle optimization, and scalability as key requirements."
Optimum Scheduling System for Container Truck Based on Genetic Algorithm on Spin(Simulator Pelabuhan Indonesia),10.1109/IDM.2015.7516352,Supeno el at. (2015),Anna,container terminal,"truck scheduling, yard operations",Minimize total travel distance and reduce truck turn-around time in yard loading and unloading operations.,none,static,"metaheuristic, prototype/software tool","computational experiment, simulation",demand fluctuation,computational time,Computational time remains a critical limitation for preserving smooth real-time 3D visualization while the algorithm searches for good solutions.,The study indicates a need for 3D result visualization so end users can interpret and validate the schedule intuitively.
Real-Time Scheduling of Autonomous Mining Trucks via Flow Allocation-Accelerated Tabu Search,10.1109/TIV.2022.3166564,Zhang et al. (2022),Luiz,generic logistic system,"reactive rescheduling, truck routing, truck scheduling","Minimize the total energy and fuel consumption of autonomous truck transport and loading equipment, including moving and idle states.","dynamic/online, reactive, stochastic",real-time online,"hybrid optimization framework, mathematical model, metaheuristic, prototype/software tool, simulation model","computational experiment, simulation","resource unavailability, service-time variability",not clearly reported,"The model ignores other autonomous-truck activities affecting total energy cost, such as refueling, dynamic road interactions, and V2V communication.","The study calls for extending the model to include refueling, vehicle communication, and traffic-interference logic in autonomous truck operations."
Scheduling of Autonomous Mining Trucks: Allocation Model Based Tabu Search Algorithm Development,10.1109/ITSC48978.2021.9564491,Zhang et al. (2021),Luiz,generic logistic system,"truck dispatching, truck routing, truck scheduling",Minimize total system fuel consumption of autonomous mining trucks and excavators through joint truck scheduling and speed control.,none,static,"hybrid optimization framework, mathematical model, metaheuristic",computational experiment,congestion,not clearly reported,The exact model does not scale to large instances and ignores refueling and truck interaction effects on the road.,The study calls for extending the model to include refueling and vehicle interactions for real-time control applications.
An {{Application Oriented Multi-Agent Based Approach}} to {{Dynamic Truck Scheduling}} at {{Cross-Dock}},10.1109/PDCAT.2016.058,Zouhaier and Ben Said (2016),Marcus,not specified,"gate operations, queue / congestion management, yard operations","Minimize time deviation between preferred and assigned slots, improper resource use, and queues.","reactive, stochastic",reactive event-driven,"mathematical model, prototype/software tool",computational experiment,none tested,"queue length, resource utilization","Early and late arrivals are not treated, negotiation time is ignored, and the model was not transformed into a decision support system.","The study indicates the need to model agent communication latency, operationalize the system, and handle trucks arriving outside the scheduled time window."
Integration of Machine Learning and Simulation for Dynamic Rescheduling in Truck Appointment Systems,10.1016/j.simpat.2023.102747,da Silva et al. (2023),Marcus,not specified,"queue / congestion management, reactive rescheduling, truck scheduling","Reduce average and maximum truck waiting time at entry-gate queues, decrease queue size, and synchronize port logistics flow.","dynamic/online, reactive",real-time online,"Machine learning model, prototype/software tool, simulation model","computational experiment, simulation","arrival variability, schedule deviation","queue length, waiting time",The rescheduling policy is limited to FIFO and the model does not evaluate impacts on yard and quay operations.,"The study calls for alternative rescheduling policies, broader analysis of internal port operations, and investigation of human decision factors with intelligent technologies."
Fuzzy Multi-Objective Truck Scheduling in Multi-Modal Rail-Road Physical Internet Hubs,10.1016/j.cie.2023.109404,Essghaier et al. (2023),Marcus,intermodal rail terminal,"intermodal terminal transfer, truck scheduling",Minimize total inbound truck delay and the travel distance of modular containers from trucks to outbound wagons in a road-rail PI-hub.,fuzzy,static,"exact algorithm, mathematical model",computational experiment,"arrival variability, schedule deviation",tardiness,"The uncertainty is restricted to truck arrival times, assumes enough waiting time for the outbound train, and the exact solver does not scale well to large instances.",The study indicates the need to add wagon minimization to the objective and develop metaheuristics for large-scale instances with practical computation times.
